timestamp,level,server_name,client_ip,http_method,endpoint,http_status,response_time_ms,user_agent,message
2025-01-15 08:00:00,DEBUG,app-server-01,192.168.1.58,GET,/api/health,200,24,PostmanRuntime/7.0.0,GET request to /api/health completed with status 200
2025-01-15 08:00:30,DEBUG,web-server-01,192.168.1.102,POST,/api/users,200,45,Chrome/120.0.0.0 Safari/537.36,POST request to /api/users completed with status 200
2025-01-15 08:01:00,INFO,app-server-01,192.168.1.226,PUT,/api/search,200,18,Chrome/120.0.0.0 Safari/537.36,PUT request to /api/search completed with status 200
2025-01-15 08:01:30,INFO,app-server-01,192.168.1.236,DELETE,/api/payment,200,52,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,DELETE request to /api/payment completed with status 200
2025-01-15 08:02:00,INFO,web-server-01,192.168.1.209,PUT,/api/search,200,42,Chrome/120.0.0.0 Safari/537.36,PUT request to /api/search completed with status 200
2025-01-15 08:02:30,WARNING,app-server-01,192.168.1.136,POST,/api/users,401,26,Chrome/120.0.0.0 Safari/537.36,POST request to /api/users completed with status 401
2025-01-15 08:03:00,INFO,web-server-01,192.168.1.74,POST,/api/search,200,16,Chrome/120.0.0.0 Safari/537.36,POST request to /api/search completed with status 200
2025-01-15 08:03:30,INFO,web-server-01,192.168.1.51,PUT,/api/payment,200,11,Chrome/120.0.0.0 Safari/537.36,PUT request to /api/payment completed with status 200
2025-01-15 08:04:00,INFO,app-server-01,192.168.1.88,POST,/api/orders,200,38,PostmanRuntime/7.0.0,POST request to /api/orders completed with status 200
2025-01-15 08:04:30,INFO,db-server-01,192.168.1.201,DELETE,/api/orders,200,145,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,DELETE request to /api/orders completed with status 200
2025-01-15 08:05:00,INFO,db-server-01,192.168.1.171,POST,/api/payment,200,138,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,POST request to /api/payment completed with status 200
2025-01-15 08:05:30,INFO,web-server-01,192.168.1.26,PUT,/api/login,200,56,Firefox/121.0,PUT request to /api/login completed with status 200
